,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
233,47094,CONSUNTIVO,ART0005242,ART0000748,ODP18-06125,40.0,55.86
234,47095,CONSUNTIVO,ART0005243,ART0000748,ODP18-06125,20.0,2.24
235,47096,CONSUNTIVO,ART0005677,ART0000748,ODP18-06125,20.0,5.04
236,47300,CONSUNTIVO,ART0001868,ART0000748,ODP18-06160,80.0,1614.55
237,47301,CONSUNTIVO,ART0001756,ART0000748,ODP18-06160,80.0,1166.77
238,47302,CONSUNTIVO,ART0005432,ART0000748,ODP18-06160,80.0,296.07
239,47303,CONSUNTIVO,ART0005433,ART0000748,ODP18-06160,80.0,84.37
240,47304,CONSUNTIVO,ART0005242,ART0000748,ODP18-06160,160.0,223.44
241,47305,CONSUNTIVO,ART0005243,ART0000748,ODP18-06160,80.0,8.96
242,47306,CONSUNTIVO,ART0005677,ART0000748,ODP18-06160,80.0,20.16
243,50649,CONSUNTIVO,ART0001868,ART0000748,ODP18-08039,20.0,471.01
244,50650,CONSUNTIVO,ART0001756,ART0000748,ODP18-08039,20.0,395.0
245,50651,CONSUNTIVO,ART0005432,ART0000748,ODP18-08039,20.0,77.0
246,50652,CONSUNTIVO,ART0005433,ART0000748,ODP18-08039,20.0,22.0
247,50653,CONSUNTIVO,ART0005242,ART0000748,ODP18-08039,40.0,55.86
248,50654,CONSUNTIVO,ART0005243,ART0000748,ODP18-08039,20.0,2.24
249,50655,CONSUNTIVO,ART0005677,ART0000748,ODP18-08039,20.0,5.04
250,50833,CONSUNTIVO,ART0001868,ART0000748,ODP18-08125,20.0,467.39
251,50834,CONSUNTIVO,ART0001756,ART0000748,ODP18-08125,20.0,306.45
252,50835,CONSUNTIVO,ART0005432,ART0000748,ODP18-08125,20.0,77.0
253,50836,CONSUNTIVO,ART0005433,ART0000748,ODP18-08125,20.0,22.0
254,50837,CONSUNTIVO,ART0005242,ART0000748,ODP18-08125,40.0,58.59
255,50838,CONSUNTIVO,ART0005243,ART0000748,ODP18-08125,20.0,2.24
256,50839,CONSUNTIVO,ART0005677,ART0000748,ODP18-08125,20.0,5.04
257,56115,CONSUNTIVO,ART0001868,ART0000748,ODP19-01590,20.0,471.01
258,56116,CONSUNTIVO,ART0001756,ART0000748,ODP19-01590,20.0,377.29
259,56117,CONSUNTIVO,ART0005432,ART0000748,ODP19-01590,20.0,77.0
260,56118,CONSUNTIVO,ART0005433,ART0000748,ODP19-01590,20.0,22.0
261,56119,CONSUNTIVO,ART0005242,ART0000748,ODP19-01590,40.0,68.0
262,56120,CONSUNTIVO,ART0005243,ART0000748,ODP19-01590,20.0,2.24
263,56121,CONSUNTIVO,ART0005677,ART0000748,ODP19-01590,20.0,5.04
264,57115,CONSUNTIVO,ART0001868,ART0000748,ODP19-01732,30.0,900.81
265,57116,CONSUNTIVO,ART0001756,ART0000748,ODP19-01732,30.0,459.68
266,57117,CONSUNTIVO,ART0005432,ART0000748,ODP19-01732,30.0,115.5
267,57118,CONSUNTIVO,ART0005433,ART0000748,ODP19-01732,30.0,33.0
