,CodiceMP,sumCostoMPBudget,sumCostoMPConsuntivo,scostamento
281,ART0001989,94.42999999999998,120.83000000000001,-26.400000000000034
282,ART0003834,137.03,165.62999999999997,-28.599999999999966
283,ART0001983,37.5,67.5,-30.0
284,ART0002015,74.08,104.65,-30.570000000000007
285,ART0005843,0.0,31.5,-31.5
286,ART0005777,8.74,40.589999999999996,-31.849999999999994
287,ART0005919,270.29999999999995,302.28000000000003,-31.980000000000075
288,ART0005191,82.55,114.81,-32.260000000000005
289,ART0005438,35.0,68.0,-33.0
290,ART0005464,69.54,104.31,-34.769999999999996
291,ART0004168,10.87,46.83,-35.96
292,ART0005236,36.0,72.0,-36.0
293,ART0005591,8.370000000000001,46.1,-37.730000000000004
294,ART0005698,114.1,152.43,-38.33000000000001
295,ART0005425,385.37,424.4,-39.02999999999997
296,ART0004158,8.93,48.16,-39.23
297,ART0004161,87.3,127.7,-40.400000000000006
298,ART0005243,22.74,64.07000000000002,-41.33000000000003
299,ART0005873,45.470000000000006,87.62,-42.15
300,ART0005172,32.47,75.47,-43.0
301,ART0005472,22.0,66.0,-44.0
302,ART0004157,100.8,144.89999999999998,-44.09999999999998
303,ART0005915,21.0,66.0,-45.0
304,ART0005279,155.28,200.73999999999998,-45.45999999999998
305,ART0001398,4.23,50.0,-45.769999999999996
306,ART0005932,24.0,70.0,-46.0
307,ART0005443,219.3,266.6,-47.30000000000001
308,ART0005806,16.0,64.0,-48.0
309,ART0005872,18.0,67.5,-49.5
310,ART0001766,750.1899999999999,800.44,-50.250000000000114
311,ART0001389,12.5,63.510000000000005,-51.010000000000005
312,ART0005336,172.8,224.57999999999998,-51.77999999999997
313,ART0001822,226.73,279.15,-52.41999999999999
314,ART0001074,203.48,257.04999999999995,-53.569999999999965
315,ART0005707,240.0,294.0,-54.0
316,ART0001399,4.23,59.2,-54.97
317,ART0005725,19.0,75.24,-56.239999999999995
318,ART0005723,19.0,75.24,-56.239999999999995
319,ART0001982,98.71000000000001,154.98000000000002,-56.27000000000001
320,ART0005142,168.65,225.30999999999997,-56.65999999999997
321,ART0005403,177.31,234.01,-56.69999999999999
322,ART0005675,20.380000000000003,79.03999999999999,-58.65999999999999
323,ART0001078,5.47,67.26,-61.790000000000006
324,ART0005699,62.5,125.0,-62.5
325,ART0001932,621.62,686.22,-64.60000000000002
326,ART0005868,65.23,129.85999999999999,-64.62999999999998
327,ART0005676,66.0,135.0,-69.0
328,ART0005416,167.8,237.34,-69.53999999999999
329,ART0005224,42.839999999999996,112.92,-70.08000000000001
330,ART0005864,294.0,367.5,-73.5
331,ART0005736,13.57,90.57,-77.0
332,ART0005807,26.0,104.0,-78.0
333,ART0005408,16.32,97.80000000000001,-81.48000000000002
334,ART0005204,52.14,133.72,-81.58
335,ART0001409,104.02999999999999,185.78000000000003,-81.75000000000004
336,ART0005144,70.47,153.22,-82.75
337,ART0001391,123.51000000000002,209.01999999999998,-85.50999999999996
338,ART0005271,88.10000000000001,177.15,-89.05
339,ART0005721,38.0,130.0,-92.0
340,ART0005544,328.0,420.25,-92.25
341,ART0002124,16.5,114.30000000000001,-97.80000000000001
342,ART0005880,107.88,207.62,-99.74000000000001
343,ART0005346,3.91,105.74000000000001,-101.83000000000001
344,ART0001387,115.93,218.12,-102.19
345,ART0005691,52.0,156.0,-104.0
346,ART0005619,12.0,117.0,-105.0
347,ART0005440,322.0,430.66,-108.66000000000003
348,ART0005275,22.04,133.0,-110.96000000000001
349,ART0002070,74.76,187.9,-113.14
350,ART0005624,1001.74,1115.08,-113.33999999999992
351,ART0004160,133.23000000000002,249.95,-116.71999999999997
352,ART0005488,229.14,346.90999999999997,-117.76999999999998
353,ART0005213,347.65999999999997,470.82000000000005,-123.16000000000008
354,ART0001985,38.84,162.5,-123.66
355,ART0005824,207.48,334.12,-126.64000000000001
356,ART0001401,7.5,137.76000000000002,-130.26000000000002
357,ART0001814,166.16,297.74,-131.58
358,ART0005608,60.0,192.0,-132.0
359,ART0005677,37.8,176.89000000000004,-139.09000000000003
360,ART0001761,71.44,210.57,-139.13
361,ART0005588,25.259999999999998,169.54999999999998,-144.29
362,ART0004198,125.44,271.97,-146.53000000000003
363,ART0005260,187.81,335.74,-147.93
364,ART0005462,149.18,298.42,-149.24
365,ART0005311,421.03999999999996,576.1800000000001,-155.1400000000001
366,ART0001400,7.5,163.07999999999998,-155.57999999999998
367,ART0005857,62.529999999999994,219.66000000000003,-157.13000000000002
368,ART0005606,142.0,300.0,-158.0
369,ART0003841,66.5,227.24,-160.74
370,ART0005652,341.81,503.43000000000006,-161.62000000000006
371,ART0005463,216.01,379.55,-163.54000000000002
372,ART0001406,92.13,262.53999999999996,-170.40999999999997
373,ART0001424,7.5,178.66,-171.16
374,ART0005954,132.5,307.5,-175.0
375,ART0001829,188.0,363.8,-175.8
376,ART0005186,9.940000000000001,189.54,-179.6
377,ART0005263,128.53,316.2,-187.67
378,ART0005491,52.0,246.71999999999997,-194.71999999999997
379,ART0001825,137.1,349.97,-212.87000000000003
